Id	Responsable 	Area	1	Tipo de Actividad	Actividad 	Fechas Inicio	Fechas Fin	Objetivo	% Cumplimiento	Estado	Area de Desarrollo	Analista
HO-4	Harry Osorio	Mejoramiento		Proyecto	AUDITORIA DE NOMINA	2/01/2024	31/05/2024	Facilitar la consolidacion y auditoria de los conceptos generados en el pago de la nomina de empleados	100%	TERMINADO	Gestión Humana	LUIS ENRIQUE
HO-5	Harry Osorio	Mejoramiento		Proyecto	AUTAMATIZACION Y CENTRALIZACION DE LOS DESCUENTOS DE NOMINA	2/01/2024	27/06/2024	Facilitar la consolidacion y auditoria de los ecuentos genreados en la nomina de empleados	100%	TERMINADO	Gestión Humana	LUIS ENRIQUE
HO-47	Harry Osorio	Mejoramiento		Proyecto	CREACION DE DATALOADS PARA CONTABILIZAR FACTURA DE CLARO	1/01/2024	8/02/2024	Disminuir El Tiemo De Carga Al Sistema Siigo	100%	TERMINADO	Contabilidad	LUIS ENRIQUE
HO-66	Harry Osorio	Mejoramiento		Proyecto	Rediseño BASE ESTABLECIMIENTO	1/04/2024	10/04/2024	Mejorar y estandarizar la base de datos de Establecimiento	100%	TERMINADO	Gestión Humana	LUIS ENRIQUE
HO-67	Harry Osorio	Mejoramiento		Proyecto	Diseño informe DESCUNTOS DE CELULAR	1/04/2024	28/06/2024	Automatizar el informe de descuento de planes de celular	100%	TERMINADO	Sistemas	LUIS ENRIQUE
HO-73	Harry Osorio	Mejoramiento		Proyecto	Mejora proceso compra de tiquetes	15/05/2024	31/05/2024	Estandarizar el proceso de compra de tiquetes 	100%	TERMINADO	Financiera	LUIS ENRIQUE
HO-77	Harry Osorio	Mejoramiento		Proyecto	Rediseño y Actualizacion de la Matriz de Celulares	15/05/2024	31/05/2024	oraganizar y Estandarizar Matriz de celulares	100%	TERMINADO	Sistemas	LUIS ENRIQUE
HO-80	Harry Osorio	Mejoramiento		Proyecto	Actualizacion - BASE CONTRATOS	1/07/2024	31/07/2024	Elaborar Proceso Para El Contol Presupuestal De Los Contratos De Una Ot - Os - Cc- Importaciones	100%	TERMINADO	Costos	LUIS ENRIQUE
HO-82	Harry Osorio	Mejoramiento		Proyecto	Elaboracion de Herramienta para consignacion de viaticos - nuevo sistema Banco de Bogota	5/07/2024	8/07/2024	Elaborar herramienta que permita realizar carga masiva de consignacion de viaticos con el nuevo sisema de dispercion de viaticos	100%	TERMINADO	Tesoreria	LUIS ENRIQUE
HO-83	Harry Osorio	Mejoramiento		Actividad Frecuente	Actualizacion -BASE DE DATOS GENERAL	8/07/2024	5/07/2024	Actualizar Carga de datos Categoria SUB INDICE	100%	TERMINADO	Costos	LUIS ENRIQUE
HO-85	Harry Osorio	Mejoramiento		Proyecto	Elabortacion de Data Lod para carga de de minutas de Base contratos	22/07/2024	31/07/2024	Crear Datalor externo a base econtratos para obtimizar el funcionamiento de Base Contratos, Automatizar la elaboracion de los datos a cargara utilizado Qry.	100%	TERMINADO	Costos	LUIS ENRIQUE
HO-88	Harry Osorio	Mejoramiento		Proyecto	Actualizacion proceso y herramienta de Minutas TEMPORALES	20/08/2024		Desarrollo de herramienta para ajustar y automatizar el proceso a la operación de año 2024 con sus respectivas fuentes	100%	TERMINADO	Gestión Humana	LUIS ENRIQUE
HO-93	Harry Osorio	Mejoramiento		Proyecto	Informe AUDITORIA de FACTURACION	6/09/2024	6/09/2024	Agilizar auditoria de FACTURACION CONTABLE	100%	TERMINADO	Contabilidad	LUIS ENRIQUE
HO-95	Harry Osorio	Mejoramiento		Proyecto	REALIZAR CONSULTA DE MTRIZ OT PARA COSTOS CON CAMPOS CONDICIONALES DEL AREA	18/10/2024		Permitir la modificacion de condiciones de ot según requerimientos del area financiera	100%	TERMINADO	Costos	LUIS ENRIQUE
HO-111	Harry Osorio	Mejoramiento		Proyecto	Elaboracion de Formulario para solicitud de nuevos proyectos	1/11/2024		Canalizar de manera formal las solictudes de nuevos proyectos de desrrollo Informatico	100%	TERMINADO	Mejoramiento	LUIS ENRIQUE
HO-112	Harry Osorio	Mejoramiento		Proyecto	herramienta integracion contable de nomina	20/11/2024		Automatizar el proceso de creacion de la interface de la carga de datos de siigo Nube a Siigo Pyme	100%	TERMINADO	Gestión Humana	LUIS ENRIQUE
HO-114	Harry Osorio	Mejoramiento		Proyecto	Desarrollo herramienta para novedades de nomina personal Administrativo (Almacen)	10/09/2024		Facilitar el calculo de las Horas extras generadads por el personal de almacen	100%	TERMINADO	Gestión Humana	LUIS ENRIQUE
